1/1/2017 00:00,6.559,73.8,340.556.962
1/1/2017 00:10,6.414,74.5,2.981.468.354
1/1/2017 00:20,6.313,74.5,2.912.810.127
1/1/2017 00:30,6.121,75,2.822.886.076
1/1/2017 00:40,5.921,75.7,273.356.962
1/1/2017 00:50,5.853,76.9,2.662.481.013
1/1/2017 01:00,5.641,77.7,2.599.898.734
1/1/2017 01:10,5.496,78.2,2.544.607.595
1/1/2017 01:20,5.678,78.1,2.477.772.152
1/1/2017 01:30,5.491,77.3,2.427.949.367
1/1/2017 01:40,5.516,77.5,2.389.670.886
1/1/2017 01:50,5.471,76.7,235.443.038
1/1/2017 02:00,5.059,78.6,230.035.443
1/1/2017 02:10,4.968,78.8,2.232.911.392
1/1/2017 02:20,4.975,78.9,220.921.519
1/1/2017 02:30,4.897,79.1,2.190.379.747
1/1/2017 02:40,05.02,79.7,2.168.506.329
1/1/2017 02:50,5.407,78.5,2.148.455.696
1/1/2017 03:00,5.169,77.9,211.078.481
1/1/2017 03:10,5.081,77.7,2.099.848.101
1/1/2017 03:20,5.041,77.2,2.087.088.608
1/1/2017 03:30,5.034,76.9,2.087.088.608
1/1/2017 03:40,4.896,76.6,2.059.746.835
1/1/2017 03:50,4.805,76.2,2.042.126.582
1/1/2017 04:00,4.753,75.7,2.052.455.696
1/1/2017 04:10,4.901,74.4,2.048.202.532
1/1/2017 04:20,5.203,74.1,2.053.063.291
1/1/2017 04:30,5.394,71.9,2.051.240.506
1/1/2017 04:40,5.156,74,2.049.417.722
1/1/2017 04:50,5.179,74.2,2.031.189.873
1/1/2017 05:00,4.934,72.9,2.054.278.481
1/1/2017 05:10,4.718,75.8,2.062.177.215
1/1/2017 05:20,5.546,74,206.278.481
1/1/2017 05:30,4.658,73.5,2.079.797.468
1/1/2017 05:40,4.382,76.9,2.085.873.418
1/1/2017 05:50,4.212,78.3,2.139.341.772
1/1/2017 06:00,4.308,77.2,2.221.974.684
1/1/2017 06:10,4.735,74.3,2.192.810.127
1/1/2017 06:20,4.769,75.6,2.177.620.253
1/1/2017 06:30,4.92,73.7,2.165.468.354
1/1/2017 06:40,4.408,76.7,2.146.632.911
1/1/2017 06:50,4.29,77,2.084.658.228
1/1/2017 07:00,4.304,76,1.998.379.747
1/1/2017 07:10,4.513,74.6,1.890.835.443
1/1/2017 07:20,4.489,74.3,1.816.708.861
1/1/2017 07:30,4.356,72.3,1.807.594.937
1/1/2017 07:40,4.478,72.2,1.806.379.747
1/1/2017 07:50,4.583,71,1.804.556.962
1/1/2017 08:00,4.794,72,1.838.582.278
1/1/2017 08:10,4.807,73.1,1.898.734.177
1/1/2017 08:20,4.757,73.5,1.957.670.886
1/1/2017 08:30,4.509,74.5,1.983.797.468
1/1/2017 08:40,4.346,74.8,2.016.607.595
1/1/2017 08:50,4.718,73.7,206.764.557
1/1/2017 09:00,4.704,71.8,2.129.620.253
1/1/2017 09:10,4.624,74.1,220.435.443
1/1/2017 09:20,4.629,74.8,2.265.113.924
1/1/2017 09:30,4.599,74,2.313.113.924
1/1/2017 09:40,4.524,74.7,2.364.151.899
1/1/2017 09:50,4.575,74.5,2.466.835.443
1/1/2017 10:00,5.124,73.7,2.527.594.937
1/1/2017 10:10,5.836,71.3,25920
1/1/2017 10:20,5.996,69.85,2.639.392.405
1/1/2017 10:30,6.22,68.81,2.686.177.215
